6150221_00	28.4812090211	-16.3365839603	663.5755290883	21 2  2014	 0 5  37.40     	
6150221_00	28.4812090086	-16.3365840083	663.5954208020	21 2  2014	 0 5  37.60     	
6150221_00	28.4812090112	-16.3365839821	663.5843080841	21 2  2014	 0 5  37.80     	
6150221_00	28.4812089938	-16.3365839899	663.5812108312	21 2  2014	 0 5  38.00     	
6150221_00	28.4812090069	-16.3365840071	663.5884994604	21 2  2014	 0 5  38.20     	
6150221_00	28.4812090183	-16.3365839983	663.5874686670	21 2  2014	 0 5  38.40     	
6150221_00	28.4812090108	-16.3365840102	663.5898046782	21 2  2014	 0 5  38.60     	
6150221_00	28.4812090026	-16.3365839887	663.5841315100	21 2  2014	 0 5  38.80     	
6150221_00	28.4812090205	-16.3365839928	663.5857838718	21 2  2014	 0 5  39.00     	
6150221_00	28.4812090286	-16.3365839668	663.5898991572	21 2  2014	 0 5  39.20     	
6150221_00	28.4812090145	-16.3365839954	663.5858548386	21 2  2014	 0 5  39.40     	
6150221_00	28.4812090247	-16.3365839815	663.5776894260	21 2  2014	 0 5  39.60     	
6150221_00	28.4812090173	-16.3365840202	663.5897545591	21 2  2014	 0 5  39.80     	
6150221_00	28.4812090005	-16.3365839814	663.5711234836	21 2  2014	 0 5  40.00     	
6150221_00	28.4812090210	-16.3365839680	663.5670917286	21 2  2014	 0 5  40.20     	
6150221_00	28.4812090444	-16.3365838962	663.5610090494	21 2  2014	 0 5  40.40     	
6150221_00	28.4812089896	-16.3365839514	663.5658725407	21 2  2014	 0 5  40.60     	
6150221_00	28.4812089991	-16.3365839201	663.5646522036	21 2  2014	 0 5  40.80     	
6150221_00	28.4812090220	-16.3365839098	663.5637014192	21 2  2014	 0 5  41.00     	
6150221_00	28.4812089910	-16.3365839460	663.5648195148	21 2  2014	 0 5  41.20     	
6150221_00	28.4812090050	-16.3365839155	663.5617535319	21 2  2014	 0 5  41.40     	
6150221_00	28.4812090034	-16.3365839141	663.5654360084	21 2  2014	 0 5  41.60     	
6150221_00	28.4812090127	-16.3365839379	663.5650810366	21 2  2014	 0 5  41.80     	
6150221_00	28.4812089958	-16.3365839279	663.5590953408	21 2  2014	 0 5  42.00     	
6150221_00	28.4812089994	-16.3365839340	663.5662543355	21 2  2014	 0 5  42.20     	
6150221_00	28.4812090103	-16.3365839119	663.5575652160	21 2  2014	 0 5  42.40     	
6150221_00	28.4812089934	-16.3365839358	663.5634179041	21 2  2014	 0 5  42.60     	
6150221_00	28.4812090061	-16.3365839245	663.5644385992	21 2  2014	 0 5  42.80     	
6150221_00	28.4812089986	-16.3365839163	663.5606033290	21 2  2014	 0 5  43.00     	
6150221_00	28.4812090010	-16.3365839340	663.5611148197	21 2  2014	 0 5  43.20     	
6150221_00	28.4812090136	-16.3365839226	663.5659550205	21 2  2014	 0 5  43.40     	
6150221_00	28.4812090124	-16.3365839136	663.5645848541	21 2  2014	 0 5  43.60     	
6150221_00	28.4812090165	-16.3365839193	663.5662558880	21 2  2014	 0 5  43.80     	
6150221_00	28.4812090041	-16.3365839167	663.5608738130	21 2  2014	 0 5  44.00     	
6150221_00	28.4812089945	-16.3365839195	663.5656339498	21 2  2014	 0 5  44.20     	
6150221_00	28.4812090051	-16.3365839049	663.5639150878	21 2  2014	 0 5  44.40     	
6150221_00	28.4812090084	-16.3365839197	663.5622814363	21 2  2014	 0 5  44.60     	
6150221_00	28.4812090104	-16.3365839254	663.5606079977	21 2  2014	 0 5  44.80     	
6150221_00	28.4812089959	-16.3365839190	663.5565814991	21 2  2014	 0 5  45.00     	
6150221_00	28.4812090120	-16.3365839221	663.5641391855	21 2  2014	 0 5  45.20     	
